family,scope,seed,head,head_label,pr_auc,exact_f1,tolerated_f1,union_f1,selected_threshold,selected_variant
ClimaX,fire_prone,1,shallow,shallow spatial adapter,0.021240416293233182,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,1,shallow_wide,wide shallow adapter,0.02263970239346272,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,global,123,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,123,linear,linear probe,0.00023303171735766592,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,123,pixel_mlp,pixel MLP head,0.0002538453180511135,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,123,shallow,shallow spatial adapter,0.0002365536453058299,0.0004850582397629769,0.07404327768301931,0.11251853060828028,0.0002,erode_r1
ClimaX,global,123,shallow_wide,wide shallow adapter,0.0002583005978824166,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,fire_prone,123,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,123,linear,linear probe,0.021474048333016964,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,123,pixel_mlp,pixel MLP head,0.022721501540288406,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,123,shallow,shallow spatial adapter,0.021304655373342616,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,123,shallow_wide,wide shallow adapter,0.02276372672081588,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,global,42,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,42,linear,linear probe,0.0002320894833804511,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,42,pixel_mlp,pixel MLP head,0.00023231085438748527,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,42,shallow,shallow spatial adapter,0.0002635438441172435,0.00048509339655791484,0.07404844686399195,0.11252622892404085,0.0002,erode_r1
ClimaX,global,42,shallow_wide,wide shallow adapter,0.00023718518248614387,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,fire_prone,42,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,42,linear,linear probe,0.021311846551503866,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,42,pixel_mlp,pixel MLP head,0.02125615909835765,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,42,shallow,shallow spatial adapter,0.0232001294766323,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,42,shallow_wide,wide shallow adapter,0.01969340138017645,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,global,7,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,7,linear,linear probe,0.000233097672009164,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,7,pixel_mlp,pixel MLP head,0.00023208715672497804,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,7,shallow,shallow spatial adapter,0.00026392842514814355,0.0004961843022316528,0.07567779225864517,0.11492651601714667,0.0002,erode_r1
ClimaX,global,7,shallow_wide,wide shallow adapter,0.00023509776904526034,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,fire_prone,7,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,7,linear,linear probe,0.021472422142810053,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,7,pixel_mlp,pixel MLP head,0.021169612166267435,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,7,shallow,shallow spatial adapter,0.023418348110635024,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,7,shallow_wide,wide shallow adapter,0.021346325264212297,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,global,99,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,99,linear,linear probe,0.00025486872430580836,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,99,pixel_mlp,pixel MLP head,0.00025409361990940153,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
ClimaX,global,99,shallow,shallow spatial adapter,0.0002584844504175628,0.0005003009842356716,0.07628187002214996,0.11582502914978784,0.0002,erode_r1
ClimaX,global,99,shallow_wide,wide shallow adapter,0.00025753349082116903,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
